"","Trees","PPFerror","RFerror"
"1",10,0.1125,0.126582278481013
"2",20,0.075,0.1
"3",30,0.1,0.075
"4",40,0.0875,0.125
"5",50,0.075,0.1125
"6",60,0.075,0.0875
"7",70,0.075,0.0875
"8",80,0.075,0.075
"9",90,0.075,0.0875
"10",100,0.0875,0.0875
"11",110,0.075,0.1
"12",120,0.075,0.0625
"13",130,0.075,0.075
"14",140,0.0875,0.0625
"15",150,0.075,0.0875
"16",160,0.075,0.075
"17",170,0.075,0.075
"18",180,0.075,0.0625
"19",190,0.075,0.0875
"20",200,0.075,0.0625
"21",210,0.075,0.0625
"22",220,0.0875,0.075
"23",230,0.075,0.0625
"24",240,0.075,0.0875
"25",250,0.075,0.0875
"26",260,0.075,0.0875
"27",270,0.075,0.0875
"28",280,0.075,0.0625
"29",290,0.075,0.0875
"30",300,0.075,0.075
"31",310,0.075,0.075
"32",320,0.075,0.0875
"33",330,0.075,0.0875
"34",340,0.075,0.075
"35",350,0.075,0.1
"36",360,0.075,0.075
"37",370,0.075,0.075
"38",380,0.075,0.075
"39",390,0.075,0.0875
"40",400,0.075,0.075
"41",410,0.075,0.075
"42",420,0.075,0.0875
"43",430,0.075,0.0625
"44",440,0.075,0.0625
"45",450,0.075,0.075
"46",460,0.075,0.0875
"47",470,0.075,0.075
"48",480,0.075,0.0875
"49",490,0.075,0.075
"50",500,0.075,0.075
